395;Банковское ПО
400;Оптимизация сайта (SEO)
420;Администратор баз данных
474;Стартапы
475;Игровое ПО
536;CRM системы
744;Другое
3;CTO, CIO, Директор по IT
9;Web инженер
10;Web мастер
25;Аналитик
30;Арт-директор
50;Системы управления предприятием (ERP)
82;Инженер
89;Интернет
110;Компьютерная безопасность
113;Консалтинг, Аутсорсинг
116;Контент
117;Тестирование
137;Маркетинг
161;Мультимедиа
172;Начальный уровень, Мало опыта
203;Передача данных и доступ в интернет
211;Поддержка, Helpdesk
221;Программирование, Разработка
225;Продажи
232;Продюсер
246;Развитие бизнеса
270;Сетевые технологии
272;Системная интеграция
273;Системный администратор
274;Системы автоматизированного проектирования
277;Сотовые, Беспроводные технологии
295;Телекоммуникации
296;Технический писатель
327;Управление проектами
359;Электронная коммерция
396;Эксплуатация
445;ЖКХ
484;Геодезия и картография
490;Рабочие строительных специальностей
525;Землеустройство
526;Оценка
527;Отопление, вентиляция и кондиционирование
528;Водоснабжение и канализация
573;Тендеры
755;Другое
20;Агент
58;Гостиницы, Магазины
63;Дизайн/Оформление
70;Жилье
83;Инженер
186;Начальный уровень, Мало опыта
189;Нежилые помещения
233;Проектирование, Архитектура
287;Строительство
325;Управление проектами
375;Девелопер
387;Прораб
397;Электротехническое оборудование, Светотехника
401;Химическая продукция
405;Сертификация
417;Строительные материалы
418;Сельское хозяйство
440;Текстиль, Одежда, Обувь
441;Франчайзинг
443;Мебель
446;Системы безопасности
486;Сантехника
487;Бытовая техника
520;Продавец в магазине
535;Торговые сети
538;Продажи по телефону, Телемаркетинг
572;Тендеры
580;Клининговые услуги
623;Финансовые услуги
625;Решения по автоматизации процессов
751;Другое
15;Автомобили, Запчасти
24;Алкоголь
59;ГСМ, нефть, бензин
65;Дилерские сети
66;Дистрибуция
111;Компьютерная техника
112;Компьютерные программы
144;Медицина, Фармацевтика
149;Менеджер по работе с клиентами
152;Металлопрокат
156;Многоуровневый маркетинг
183;Начальный уровень, Мало опыта
196;Оптовая торговля
231;Продукты питания
242;Прямые продажи
256;Розничная торговля
269;Телекоммуникации, Сетевые решения
279;Станки, тяжелое оборудование
301;Товары для бизнеса
302;FMCG, Товары народного потребления
303;Торговля биржевыми товарами
306;Торговый представитель
324;Управление продажами
333;Услуги для бизнеса
334;Услуги для населения
350;Цветные металлы
358;Электроника, фото, видео
398;Клинические исследования
432;Производство
433;Регистратура
438;Оптика
447;Психология
489;Медицинский представитель
537;Медицинский советник
567;Дефектолог, Логопед
578;Фармацевт
587;Врач-эксперт
732;Стоматология
748;Другое
49;Ветеринария
128;Лаборант
131;Лечащий врач
138;Маркетинг
155;Младший и средний медперсонал
185;Начальный уровень, Мало опыта
220;Провизор
227;Продажи
228;Лекарственные препараты
229;Медицинское оборудование
268;Сертификация
399;Ипотека, Ипотечное кредитование
424;Паевые фонды
426;Экономист
444;Финансовый мониторинг
450;Кредитование малого и среднего бизнеса
457;Риски: операционные
458;Риски: финансовые
459;Риски: рыночные
460;Автокредитование
534;Факторинг
579;Работа с проблемными заемщиками
691;Private Banking
735;Другое
4;Forex
23;Акции, Ценные бумаги
27;Аналитик
