1;Информационные технологии, интернет, телеком
20;Строительство, недвижимость
17;Продажи
13;Медицина, фармацевтика
5;Банки, инвестиции, лизинг
21;Транспорт, логистика
18;Производство, сельское хозяйство
26;Закупки
19;Страхование
23;Юристы
3;Маркетинг, реклама, PR
2;Бухгалтерия, управленческий учет, финансы предприятия
4;Административный персонал
16;Государственная служба, некоммерческие организации
11;Искусство, развлечения, масс-медиа
9;Высший менеджмент
7;Автомобильный бизнес
8;Безопасность
10;Добыча сырья
22;Туризм, гостиницы, рестораны
24;Спортивные клубы, фитнес, салоны красоты
29;Рабочий персонал
27;Домашний персонал
15;Начало карьеры, студенты
25;Инсталляция и сервис
12;Консультирование
14;Наука, образование
6;Управление персоналом, тренинги
